ProbID	Method	Layout	TaskCompletionTime	ErrorRate	Overshoot	OvershootTime	NoTargetSelected
18	Indirect Touch	Vertical	14.557750	5	0.250000	1.237375	2.000000
18	Indirect Touch	Horizontal	9.217250	0	0.250000	0.967375	0.000000
18	Indirect Touch	2D	14.722375	11	0.000000	0.000000	3.000000
19	Analogue Stick	Vertical	10.582000	2	0.375000	1.744750	1.000000
19	Analogue Stick	Horizontal	8.478375	0	0.375000	1.344250	0.000000
19	Analogue Stick	2D	10.692375	0	0.000000	0.000000	0.000000
19	Buttons	Vertical	7.755875	0	0.250000	0.546250	0.000000
19	Buttons	Horizontal	5.677250	0	0.125000	0.476625	0.000000
19	Buttons	2D	9.511750	5	0.250000	0.260875	0.000000
19	Direct Touch	Vertical	7.635375	0	-1.000000	0.000000	0.000000
19	Direct Touch	Horizontal	4.195750	1	-1.000000	0.000000	0.000000
19	Direct Touch	2D	4.366500	0	-1.000000	0.000000	0.000000
19	Indirect Touch	Vertical	9.372750	1	0.375000	1.237125	0.000000
19	Indirect Touch	Horizontal	8.487875	0	0.375000	0.527000	0.000000
19	Indirect Touch	2D	12.678750	0	0.000000	0.000000	1.000000
2	Analogue Stick	Vertical	6.606375	0	0.375000	0.399375	0.000000
2	Analogue Stick	Horizontal	5.688500	0	0.375000	0.504125	0.000000
2	Analogue Stick	2D	14.431500	0	0.375000	1.463875	4.000000
2	Buttons	Vertical	5.157625	2	0.250000	0.393125	0.000000
2	Buttons	Horizontal	4.543125	1	0.375000	0.636250	0.000000
2	Buttons	2D	6.403250	0	0.375000	0.674875	0.000000
2	Direct Touch	Vertical	3.179250	1	-1.000000	0.000000	0.000000
2	Direct Touch	Horizontal	4.197500	0	-0.500000	0.242250	0.000000
2	Direct Touch	2D	3.224500	0	-1.000000	0.000000	0.000000
2	Indirect Touch	Vertical	8.301750	6	1.000000	1.525375	0.000000
2	Indirect Touch	Horizontal	9.050625	12	0.375000	0.353375	0.000000
2	Indirect Touch	2D	12.290375	11	0.125000	0.439125	1.000000
20	Analogue Stick	Vertical	5.843000	0	0.125000	0.244375	0.000000
20	Analogue Stick	Horizontal	5.737250	0	0.500000	0.419625	0.000000
